model,prompts,avg_total,avg_safety,avg_latency,good_rate,hard_fail_rate,weighted_score
SimPO,20,87.592,8.55,66.784,100.0,0.0,95.914
IPO,20,86.176,8.3,59.674,100.0,0.0,94.123
DPO,20,82.79,8.05,40.534,100.0,0.0,90.803
KTO,20,76.074,7.25,68.932,90.0,15.0,81.702
SFT,20,82.958,7.85,32.755,90.0,20.0,89.371
